property,niche_ranking,University,State,Campus Life,Cost,Academic,Students,After College,Admissions,in_state_tuition,out_state_tuition,earning_two_years,earning_six_years,male_famle_rate,student_population,academics,athletics,dorms,student_life,campus,party,location,food,safety,engineering_subject,business_subject,computer_science_subject,art_subject,acceptance_rate,sat_scores,QS_overall,academic reputation,citation_per_faculty,employer_reputation,male,employment,from,to
Private,98,The Cooper Union for the Advancement of Science and Art,NY,3.88,40617,98,893,53700,15,43850,43850,34600,53700,67/33,893,A+,A+,B-,A+,A+,A+,A-,A+,A-,18,#N/A,#N/A,1,15,1250-1500,66,75,70,71,67,93,1250,1500
Private,5,Rice University,TX,8.88,22462,29,3863,59900,16,43918,43918,48600,59900,53/47,3863,A+,A,A+,A+,A+,A,A,A+,C+,6,10,7,3,16,1390-1560,65.6,45.5,96.7,71,53,89,1390,1560
Private,7,University of Pennsylvania,PA,7.5,23924,11,10406,78200,10,51464,51464,67400,78200,48/52,10406,A+,B,B,A+,A-,A+,A,B,B-,10,1,10,5,10,1380-1550,88.7,97.4,67.4,94.9,48,92,1380,1550
Private,8,Brown University,RI,7.25,22957,20,6318,59700,9,51366,51366,44600,59700,48/52,6318,A+,B,B,A+,A-,A-,A-,B+,B-,27,1219,12,6,9,1370-1560,76.5,72.5,92.5,56.9,48,91,1370,1560
Private,19,University of Southern California,CA,8.38,31384,35,18208,66100,17,52283,52283,55000,66100,49/51,18208,A+,A+,B+,A+,A,A+,B+,A-,B,16,2,9,7,17,1270-1500,57.2,64.8,70.4,55,49,92,1270,1500
Private,9,Bowdoin College,ME,8,23156,9,17940,54800,15,49900,49900,41100,54800,50/50,17940,A+,B,A+,A+,A+,B-,C+,A+,A,#N/A,#N/A,44,8,15,1360-1510,66,75,70,71,50,93,1360,1510
Private,29,Carnegie Mellon University,PA,6.13,33657,18,5853,72000,24,52310,52310,64000,72000,55/45,5853,A+,C+,B-,A,B,B+,A-,B-,B-,22,18,3,9,24,1360-1540,78.6,85,95.6,85.1,55,91,1360,1540
Private,53,New York University,NY,7.75,35106,19,24480,58800,32,49062,49062,43400,58800,43/57,24480,A+,C+,B-,A,A-,A+,A+,A,B+,97,13,48,10,32,1250-1470,77.3,97.9,23.4,92.6,43,91,1250,1470
Public,36,University of California - Los Angeles,CA,8.88,13816,16,29004,59200,17,12920,39602,41100,59200,44/56,29004,A+,A+,B+,A+,A+,A,A,A+,B,29,#N/A,21,11,17,1180-1470,83.6,100,97.5,99.4,44,87,1180,1470
Private,20,Cornell University,NY,7.25,28656,7,14303,70900,15,50953,50953,57900,70900,52/48,14303,A+,B,C,A,A,A-,B+,A+,B,11,9,18,12,15,1330-1530,90.7,99.6,96.2,93.7,52,92,1330,1530
Private,64,Reed College,OR,6.25,19192,64,1394,36200,35,52150,52150,25200,36200,46/54,1394,A+,A+,B-,A+,B+,B+,A-,A-,B-,#N/A,#N/A,#N/A,13,35,1290-1480,66,75,70,71,46,88,1290,1480
Public,23,University of Michigan - Ann Arbor,MI,8.75,15757,13,27258,57900,26,14402,45410,47500,57900,50/50,27258,A+,A+,B-,A+,A+,A+,A+,A+,B-,12,8,20,15,26,1290-1500,87,99.7,66.7,92.2,50,91,1290,1500
Private,49,Williams College,MA,6.25,21546,49,2083,58100,18,51790,51790,38100,58100,49/51,2083,A+,A-,A-,A-,A-,C,D+,A-,B,#N/A,#N/A,41,16,18,1330-1550,66,75,70,71,49,89,1330,1550
Private,65,Scripps College,CA,7.25,35211,65,969,47200,28,50982,50982,34800,47200,0/100,969,A+,A+,A,A+,A+,B+,B,A+,B,101,#N/A,#N/A,18,28,1280-1448,66,75,70,71,0,90,1280,1448
Private,41,Amherst College,MA,6.38,16861,41,1795,56800,14,52476,52476,36200,56800,50/50,1795,A+,A-,B+,B+,B-,B,B,B-,B+,#N/A,#N/A,37,23,14,1360-1553,66,75,70,71,50,91,1360,1553
private,79,Pitzer College,CA,6.88,26288,79,1036,45300,13,51964,51964,29800,45300,43/57,1036,A+,A,A-,A,A-,A-,B,A+,B,#N/A,51,#N/A,25,13,1300-1450,66,75,70,71,43,86,1300,1450
Private,22,Tufts University,MA,7.63,26976,55,5215,67800,16,52430,52430,56400,67800,50/50,5215,A+,B,B-,A+,A,B+,A-,A+,B,35,#N/A,27,26,16,1370-1520,42,75,62.8,71,50,93,1370,1520
private,89,Colorado College,CO,6.75,21027,89,2096,41100,17,50892,50892,26600,41100,46/54,2096,A+,B,A-,A,A,B,C,A+,C,#N/A,#N/A,97,28,17,1220-1430,66,75,70,71,46,91,1220,1430
Public,42,University of California - Berkeley,CA,7.25,16601,14,26622,62700,17,13509,40191,43600,62700,48/52,26622,A+,A+,C-,A+,B+,A,A-,A,C,17,28,14,32,17,1250-1510,84.9,100,99.3,99.9,48,86,1250,1510
Public,46,University of Texas - Austin,TX,8.5,17366,23,36565,52800,39,10092,35682,42100,52800,47/53,36565,A+,A+,B-,A+,A,A+,A+,A,B-,21,7,25,33,39,1170-1410,70.6,97.6,95.7,82.1,47,93,1170,1410
