property,niche_ranking,name,location,in_state_tuition,out_state_tuition,earning_two_years,earning_six_years,male_famle_rate,student_population,net_price,academics,athletics,dorms,student_life,campus,party,location,food,safety,campus_life,engineering_subject,business_subject,computer_science_subject,art_subject,acceptance_rate,sat_scores,QS_ranking,QS_overall,academic reputation,citation_per_faculty,employer_reputation
Private,98,The Cooper Union for the Advancement of Science and Art,NY,43850,43850,34600,53700,67/33,893,"$40,617 ",A+,A+,B-,A+,A+,A+,A-,A+,A-,3.88,18,#N/A,#N/A,1,15,1250-1500,98,66,75,70,71
Private,5,Rice University,TX,43918,43918,48600,59900,53/47,3863,"$22,462 ",A+,A,A+,A+,A+,A,A,A+,C+,8.88,6,10,7,3,16,1390-1560,29,65.6,45.5,96.7,71
Private,7,University of Pennsylvania,PA,51464,51464,67400,78200,48/52,10406,"$23,924 ",A+,B,B,A+,A-,A+,A,B,B-,7.50,10,1,10,5,10,1380-1550,11,88.7,97.4,67.4,94.9
Private,8,Brown University,RI,51366,51366,44600,59700,48/52,6318,"$22,957 ",A+,B,B,A+,A-,A-,A-,B+,B-,7.25,27,1219,12,6,9,1370-1560,20,76.5,72.5,92.5,56.9
Private,19,University of Southern California,CA,52283,52283,55000,66100,49/51,18208,"$31,384 ",A+,A+,B+,A+,A,A+,B+,A-,B,8.38,16,2,9,7,17,1270-1500,35,57.2,64.8,70.4,55
Private,9,Bowdoin College,ME,49900,49900,41100,54800,50/50,17940,"$23,156 ",A+,B,A+,A+,A+,B-,C+,A+,A,8.00,#N/A,#N/A,44,8,15,1360-1510,9,66,75,70,71
Private,29,Carnegie Mellon University,PA,52310,52310,64000,72000,55/45,5853,"$33,657 ",A+,C+,B-,A,B,B+,A-,B-,B-,6.13,22,18,3,9,24,1360-1540,18,78.6,85,95.6,85.1
Private,53,New York University,NY,49062,49062,43400,58800,43/57,24480,"$35,106 ",A+,C+,B-,A,A-,A+,A+,A,B+,7.75,97,13,48,10,32,1250-1470,19,77.3,97.9,23.4,92.6
Public,36,University of California - Los Angeles,CA,12920,39602,41100,59200,44/56,29004,"$13,816 ",A+,A+,B+,A+,A+,A,A,A+,B,8.88,29,#N/A,21,11,17,1180-1470,16,83.6,100,97.5,99.4
Private,20,Cornell University,NY,50953,50953,57900,70900,52/48,14303,"$28,656 ",A+,B,C,A,A,A-,B+,A+,B,7.25,11,9,18,12,15,1330-1530,7,90.7,99.6,96.2,93.7
Private,64,Reed College,OR,52150,52150,25200,36200,46/54,1394,"$19,192 ",A+,A+,B-,A+,B+,B+,A-,A-,B-,6.25,#N/A,#N/A,#N/A,13,35,1290-1480,64,66,75,70,71
Public,23,University of Michigan - Ann Arbor,MI,14402,45410,47500,57900,50/50,27258,"$15,757 ",A+,A+,B-,A+,A+,A+,A+,A+,B-,8.75,12,8,20,15,26,1290-1500,13,87,99.7,66.7,92.2
Private,49,Williams College,MA,51790,51790,38100,58100,49/51,2083,"$21,546 ",A+,A-,A-,A-,A-,C,D+,A-,B,6.25,#N/A,#N/A,41,16,18,1330-1550,49,66,75,70,71
