property,niche_ranking,name,location,in_state_tuition,out_state_tuition,earning_two_years,earning_six_years,male_famle_rate,student_population,net_price,academics,athletics,dorms,student_life,campus,party,location,food,safety,campus_life,engineering_subject,business_subject,computer_science_subject,art_subject,acceptance_rate,sat_scores,QS_ranking,QS_overall,academic reputation,citation_per_faculty,employer_reputation
Private,7,University of Pennsylvania,PA,51464,51464,67400,78200,48/52,10406,"$23,924 ",A+,B,B,A+,A-,A+,A,B,B-,7.50,10,1,10,5,10,1380-1550,11,88.7,97.4,67.4,94.9
Private,19,University of Southern California,CA,52283,52283,55000,66100,49/51,18208,"$31,384 ",A+,A+,B+,A+,A,A+,B+,A-,B,8.38,16,2,9,7,17,1270-1500,35,57.2,64.8,70.4,55
Private,2,Massachusetts Institute of Technology,MA,48452,48452,77900,91600,54/46,4492,"$21,691 ",A+,B-,A-,A+,B+,A,A+,B+,B,7.75,1,3,1,#N/A,8,1430-1580,1,100,100,99.9,100
Private,24,Georgetown University,DC,50547,50547,66000,83300,45/55,7175,"$26,749 ",A+,B+,C+,A+,B-,A,A,B-,C+,6.63,#N/A,4,29,544,17,1320-1500,53,43.8,41.8,27.5,53.2
Private,14,Washington University in St. Louis,MO,49770,49770,50200,62300,49/51,6819,"$33,261 ",A+,B+,A+,A+,A+,A-,A,A+,B,8.75,24,5,22,559,17,1400-1550,31,64.6,51,78.3,71
Private,16,University of Notre Dame,IN,49685,49685,58700,69400,52/48,8450,"$26,698 ",A+,A+,A,A+,A+,A-,C+,A,C+,8.00,13,6,33,514,20,1350-1530,52,45.9,36.3,72,34.1
Public,46,University of Texas - Austin,TX,10092,35682,42100,52800,47/53,36565,"$17,366 ",A+,A+,B-,A+,A,A+,A+,A,B-,8.50,21,7,25,33,39,1170-1410,23,70.6,97.6,95.7,82.1
Public,23,University of Michigan - Ann Arbor,MI,14402,45410,47500,57900,50/50,27258,"$15,757 ",A+,A+,B-,A+,A+,A+,A+,A+,B-,8.75,12,8,20,15,26,1290-1500,13,87,99.7,66.7,92.2
Private,20,Cornell University,NY,50953,50953,57900,70900,52/48,14303,"$28,656 ",A+,B,C,A,A,A-,B+,A+,B,7.25,11,9,18,12,15,1330-1530,7,90.7,99.6,96.2,93.7
Private,5,Rice University,TX,43918,43918,48600,59900,53/47,3863,"$22,462 ",A+,A,A+,A+,A+,A,A,A+,C+,8.88,6,10,7,3,16,1390-1560,29,65.6,45.5,96.7,71
